"genus","different"
"BELAMEANDA","yes"
"BELLARDIA","yes"
"BELLIUM","no"
"BERBERIS","no"
"BERKHEYA","no"
"BERLANDIERA","no"
"BERSAMA","no"
"BERTYA","no"
"BESHORNERIA","yes"
"BETA","yes"
"BETONICA","no"
"BETULA","yes"
"BEYERIA","no"
"BIDENS","yes"
"BIFURCARIA","yes"
"BILLBERGIA","no"
"BINAPSIS","yes"
"BIOTA","yes"
"BISHOFIA","yes"
"BIXA","no"
"BLAINVILLEA","no"
"BLECHNUM","no"
"BLEEKERIA","yes"
"BLEPHARIS","no"
"BLIGHIA","no"
"BLUMEA","no"
"BOCCONIA","no"
"BOEHMERIA","no"
"BOENNINGHAUSENA","yes"
"BOERHAAVIA","yes"
"BOESENBERGIA","no"
"BOHADSCHIA","yes"
"BOLBITIS","no"
"BOLBOSTEMMA","no"
"BOLDEA","yes"
"BOLETUS","yes"
"BOLUSANTHUS","no"
"BOMBAX","no"
"BONAFOUSIA","yes"
"BONANNIA","no"
"BONNEMAISONIA","yes"
"BOOPHONE","no"
"BORONIA","no"
"BORREIRA","yes"
"BOSCHNAKIA","yes"
"BOSISTOA","no"
"BOSWELLIA","no"
"BOTHRIOCHLOA","no"
"BOTHRIOCLINE","no"
"BOTRYOCOCCUS","yes"
"BOUCERIA","yes"
"BOURRERIA","no"
"BOUVARDIA","no"
"BOWDICHIA","no"
"BOWEIA","yes"
"BRACHIARIA","no"
"BRACHYLAENA","no"
"BRACHYMERIS","yes"
"BRACKENRIDGEA","no"
"BRANDEGEA","no"
"BRASILIA","yes"
"BRASSICA","no"
"BREDEMEYERA","no"
"BRENANIA","no"
"BREYNIA","no"
"BRICKELLIA","no"
"BROCCHIA","yes"
"BROMELIA","no"
"BROSIMUM","no"
"BROUSSONETIA","no"
"BRUCEA","no"
"BRUGUIERA","no"
"BRUNSDONNA","yes"
"BRUNSVIGIA","no"
"BRYONIA","no"
"BRYOPHYLLUM","no"
"BRYOPSIS","yes"
"BUCHENOVIA","yes"
"BUCKLEYA","no"
"BUCSERA","yes"
"BUDDLEJA","no"
"BUELLIA","yes"
"BULBOCAPNUS","yes"
"BULBOCODIUM","yes"
"BULBOPHYLLUM","no"
"BULNESIA","no"
"BUPLEURUM","no"
"BUPHTHALMUM","no"
"BURASIA","yes"
"BURCHARDIA","no"
"BURSERA","no"
"BUTEA","no"
"BUXUS","no"
"BYRSONIMA","no"
"CABRALEA","no"
"CABUCALA","yes"
"SPIROINDOLONE","yes"
"CACALIA","no"
"CACCINIA","no"
"CADABA","no"
"CADIA","no"
"CAESALPINIA","no"
"CAJANUS","no"
"CALAMINTHA","yes"
"CALCEOLARIA","no"
"CALDARIELLA","yes"
"CALEA","no"
"CALENDULA","no"
"CALIBANUS","no"
"CALLIANDRA","no"
"CALLICARPA","no"
"CALLICHILIA","no"
"CALLIGONUM","no"
"CALLILEPIS","no"
"CALLISTEMON","no"
"CALLITRIS","no"
"CALLITROPIS","yes"
"CALLODONIA","yes"
"CALLUNA","no"
"CALOCEPHALUS","no"
"CALOCYBE","yes"
"CALODENDRUM","no"
"CALONECTRIA","yes"
"CALONYCTION","yes"
"CALOPHYLLUM","no"
"CALOPLACA","yes"
"CALOPOGONIUM","no"
"CALOSCYPHA","yes"
"CALOSTEMMA","no"
"CALOTROPIS","no"
"CALPURNIA","no"
"CALTHA","no"
"CALVATIA","yes"
"CALYCANTHUS","no"
"CALYCOPTERIS","yes"
"CALYCOTOME","yes"
"CALYPOGEIA","no"
"CALYTHRIX","yes"
"CALYX","yes"
"CAMELLIA","yes"
"CAMOENSIS","yes"
"CAMPANULA","no"
"CAMPHYLANDRA","yes"
"CAMPOVASSOURIA","no"
"CAMPSIDIUM","no"
"CAMPSIS","no"
"CAMPTOTHECA","no"
"CANANGA","no"
"CANARIUM","no"
"CANAVALIA","no"
"CANELLA","no"
"CANNABIS","yes"
"CANSCORA","no"
"CANTHARELLUS","yes"
"CANTHIUM","no"
"CANTLEYA","no"
"CAPPARIS","no"
"CAPRARIA","no"
"CAPSICODENDRON","yes"
"CAPSICUM","no"
"CAPURONETTA","yes"
"CARAPA","no"
"CARAUPA","yes"
"CARDARIA","no"
"CARDUNCELLUS","no"
"CARDUUS","no"
"CAREX","no"
"CAREYA","no"
"CARICA","no"
"CARISSA","yes"
"CARLINA","yes"
"CARNEGIA","yes"
"CARPESIUM","no"
"CARPOLOBIA","no"
"CARTEROTHAMNUS","yes"
"CARTHAMNUS","yes"
"CARUM","no"
"CARYA","no"
"CARYOCAR","no"
"CARYOPTERIS","no"
"CASCARA","yes"
"CASEARIA","no"
"CASELLA","yes"
"CASIMIROA","no"
"CASSIA","yes"
"CASSINE","no"
"CASSINOPSIS","no"
"CASSIPOUREA","no"
"CASSYTHA","no"
"CASTANEA","yes"
"CASTANOPSIS","no"
"CASTANOSPERMUM","no"
"CASTELA","no"
"CASUARINA","no"
